"","country","part","pld","w","d","l","gf","ga","gd","pts","rank","player","goals","land_area_km","confederation"
"22","Ecuador"," 4"," 13"," 5"," 2"," 6"," 14"," 14","0"," 17","44","Enner Valencia",38,248360,"CONMEBOL"
"23","Egypt"," 3","  7"," 0"," 2"," 5","  5"," 12","−7","  2","39","Hossam Hassan",68,995450,"CAF"
"24","El Salvador"," 2","  6"," 0"," 0"," 6","  1"," 22","−21","  0","74","Raúl Díaz Arce",39,20720,"CONCACAF"
"25","England","16"," 73","32","22","19","103"," 66","+37","118","5","Wayne Rooney",53,130279,"UEFA"
"26","France","16"," 70","37","13","20","129"," 81","+48","124","4","Olivier Giroud",52,547557,"UEFA"
"27","Germany","20","112","68","21","23","232","130","+102","225","11","Miroslav Klose",71,349390,"UEFA"
"28","Ghana"," 4"," 15"," 5"," 3"," 7"," 18"," 23","−5"," 18","61","Asamoah Gyan",51,227533,"CAF"
"29","Greece"," 3"," 10"," 2"," 2"," 6","  5"," 20","−15","  8","52","Nikos Anastopoulos",29,128900,"UEFA"
"30","Haiti"," 1","  3"," 0"," 0"," 3","  2"," 14","−12","  0","87","Emmanuel Sanon",37,27560,"CONCACAF"
"31","Honduras"," 3","  9"," 0"," 3"," 6","  3"," 14","−11","  3","80","Carlos Pavón",57,111890,"CONCACAF"
"32","Hungary"," 9"," 32","15"," 3","14"," 87"," 57","+30"," 48","36","Ferenc Puskás",84,91260,"UEFA"
"33","Iceland"," 1","  3"," 0"," 1"," 2","  2","  5","−3","  1","62","Kolbeinn Sigþórsson & Eiður Guðjohnsen",26,100830,"UEFA"
"34","Indonesia"," 1","  1"," 0"," 0"," 1","  0","  6","−6","  0","152","Abdul Kadir",70,1877519,"AFC"
"35","Iran"," 6"," 18"," 3"," 4","11"," 13"," 31","−18"," 13","20","Ali Daei",109,1622500,"AFC"
"36","Iraq"," 1","  3"," 0"," 0"," 3","  1","  4","−3","  0","68","Hussein Saeed",78,434128,"AFC"
"37","Israel"," 1","  3"," 0"," 2"," 1","  1","  3","−2","  2","76","Eran Zahavi",33,21640,"UEFA"
"38","Italy","18"," 83","45","21","17","128"," 77","+51","156","6","Gigi Riva",35,295717,"UEFA"
"39","Ivory Coast"," 3","  9"," 3"," 1"," 5"," 13"," 14","−1"," 10","48","Didier Drogba",65,318000,"CAF"
"40","Jamaica"," 1","  3"," 1"," 0"," 2","  3","  9","−6","  3","64","Luton Shelton",35,10830,"CONCACAF"
"41","Japan"," 7"," 25"," 7"," 6","12"," 25"," 33","−8"," 27","24","Kunishige Kamamoto",75,364500,"AFC"
"42","Kuwait"," 1","  3"," 0"," 1"," 2","  2","  6","−4","  1","149","Bashar Abdullah",75,17820,"AFC"
"43","Mexico","17"," 60","17","15","28"," 62","101","−39"," 66","13","Javier Hernández",52,1943950,"CONCACAF"
"44","Morocco"," 6"," 19"," 4"," 6"," 9"," 18"," 23","−5"," 18","22","Ahmed Faras",36,446300,"CAF"
"45","Netherlands","11"," 54","30","13","11"," 94"," 50","+44","103","8","Robin van Persie",50,33670,"UEFA"
"46","New Zealand"," 2","  6"," 0"," 3"," 3","  4"," 14","−10","  3","105","Chris Wood",33,263310,"OFC"
"47","Nigeria"," 6"," 21"," 6"," 3","12"," 23"," 30","−7"," 21","32","Rashidi Yekini",37,910770,"CAF"
"48","North Korea"," 2","  7"," 1"," 1"," 5","  6"," 21","−15","  4","112","Jong Il-gwan",26,120410,"AFC"
"49","Northern Ireland"," 3"," 13"," 3"," 5"," 5"," 13"," 23","−10"," 14","59","David Healy",36,14130,"UEFA"
"50","Norway"," 3","  8"," 2"," 3"," 3","  7","  8","−1","  9","42","Jørgen Juve",33,364285,"UEFA"
"51","Panama"," 1","  3"," 0"," 0"," 3","  2"," 11","−9","  0","60","Luis Tejada",43,74180,"CONCACAF"
"52","Paraguay"," 8"," 27"," 7","10","10"," 30"," 38","−8"," 31","47","Roque Santa Cruz",32,397300,"CONMEBOL"
"53","Peru"," 5"," 18"," 5"," 3","10"," 21"," 33","−12"," 18","23","Paolo Guerrero",38,1280000,"CONMEBOL"
"54","Poland"," 9"," 38","17"," 6","15"," 49"," 50","−1"," 57","26","Robert Lewandowski",78,306130,"UEFA"
"55","Portugal"," 8"," 33","16"," 6","11"," 55"," 39","+16"," 54","9","Cristiano Ronaldo",118,91605.6,"UEFA"
"56","Qatar"," 1","  3"," 0"," 0"," 3","  1","  7","−6","  0","50","Mansour Muftah",42,11490,"AFC"
"57","Republic of Ireland"," 3"," 13"," 2"," 8"," 3"," 10"," 10","0"," 14","49","Robbie Keane",68,70273,"UEFA"
"58","Romania"," 7"," 21"," 8"," 5"," 8"," 30"," 32","−2"," 29","53","Adrian Mutu & Gheorghe Hagi",35,230080,"UEFA"
"59","Russia","11"," 45","19","10","16"," 77"," 54","+23"," 67","33","Alexander Kerzhakov & Artem Dzyuba",42,16376870,"UEFA"
"60","Saudi Arabia"," 6"," 19"," 4"," 2","13"," 14"," 44","−30"," 14","51","Majed Abdullah",72,2149690,"AFC"
"61","Scotland"," 8"," 23"," 4"," 7","12"," 25"," 41","−16"," 19","40","Denis Law & Kenny Dalglish",30,77910,"UEFA"
"62","Senegal"," 3"," 12"," 5"," 3"," 4"," 16"," 17","-1"," 18","18","Sadio Mané",34,192530,"CAF"
"63","Serbia","13"," 49","18"," 9","22"," 71"," 71","0"," 63","21","Aleksandar Mitrović",52,87460,"UEFA"
"64","Slovakia"," 1","  4"," 1"," 1"," 2","  5","  7","−2","  4","55","Marek Hamšík",26,49035,"UEFA"
"65","Slovenia"," 2","  6"," 1"," 1"," 4","  5"," 10","−5","  4","63","Zlatko Zahovič",35,20136.4,"UEFA"
"66","South Africa"," 3","  9"," 2"," 4"," 3"," 11"," 16","−5"," 10","67","Benni McCarthy",31,1213090,"CAF"
"67","South Korea","11"," 38"," 7","10","21"," 39"," 78","−39"," 31","28","Cha Bum-kun",58,97600,"AFC"
"68","Spain","16"," 66","31","16","19","108"," 75","+33","109","7","David Villa",59,499556.6,"UEFA"
"69","Sweden","12"," 51","19","13","19"," 80"," 73","+7"," 70","25","Zlatan Ibrahimović",62,407283.5,"UEFA"
"70","Switzerland","12"," 40","14"," 8","18"," 54"," 67","−13"," 50","15","Alexander Frei",42,39516,"UEFA"
"71","Togo"," 1","  3"," 0"," 0"," 3","  1","  6","−5","  0","127","Emmanuel Adebayor",32,54390,"CAF"
"72","Trinidad and Tobago"," 1","  3"," 0"," 1"," 2","  0","  4","−4","  1","104","Stern John",70,5128,"CONCACAF"
"73","Tunisia"," 6"," 18"," 3"," 5","10"," 14"," 26","−12"," 14","30","Issam Jemâa",36,155360,"AFC"
"74","Turkey"," 2"," 10"," 5"," 1"," 4"," 20"," 17","+3"," 16","45","Hakan Şükür",51,783562,"UEFA"
"75","Ukraine"," 1","  5"," 2"," 1"," 2","  5","  7","−2","  7","27","Andriy Shevchenko",48,579400,"UEFA"
"76","United Arab Emirates"," 1","  3"," 0"," 0"," 3","  2"," 11","−9","  0","70","Ali Mabkhout",80,83600,"AFC"
"77","United States","11"," 37"," 9"," 8","20"," 40"," 66","−26"," 35","16","Clint Dempsey & Landon Donovan",57,9147420,"CONCACAF"
"78","Uruguay","14"," 59","25","13","21"," 89"," 76","+13"," 88","14","Luis Suárez",68,175020,"CONMEBOL"
"79","Wales"," 2","  8"," 1"," 4"," 3","  5"," 10","−5","  7","19","Gareth Bale",41,20780,"UEFA"
